latiude,longitude,候補1,候補2
34.914665,136.294304,土山SA（下り）（新名神高速道路）,
34.996658,135.726524,イオンモール京都五条,
34.996689,135.726531,イオンモール京都五条,
35.672531,136.953705,瓢ケ岳PA,
35.881764,136.854642,道の駅清流の里しろとり,
35.09272,137.079468,イオン三好店,
35.805885,137.240501,下呂駅（JR）,
35.805885,137.240509,下呂駅（JR）,
35.292885,137.139603,ファミリーマート多治見笠原町店,
35.292885,137.139603,ファミリーマート多治見笠原町店,
35.173096,137.051781,ロイヤルホームセンター長久手,
35.1729,137.051931,ロイヤルホームセンター長久手,
35.361519,136.901596,イオンモール扶桑,
35.172997,137.051834,ロイヤルホームセンター長久手,
35.292892,137.139587,ファミリーマート多治見笠原町店,
34.9786,138.292625,静岡SA,
34.838921,138.035828,掛川PA,
34.925201,137.513016,長篠設楽原PA（下り）（新東名高速道路）,
35.154488,137.028763,マックスバリュ長久手店,
35.100662,138.848953,エネオスニユー沼津SS,
34.925339,137.512856,長篠設楽原PA（下り）（新東名高速道路）,
35.123993,137.092049,セブンイレブンみよし黒笹店,
35.078476,137.159592,マクドナルドイオンスタイル豊田店,
35.049393,137.153793,ファミリーマート豊田豊栄町店,
35.280731,136.853745,尾張一宮PA（下り）（名神高速道路）,
35.826408,136.201752,南条SA,
35.921142,135.997497,越前がにミュージアム,
35.921135,135.997467,越前がにミュージアム,
35.520355,136.218094,賤ケ岳SA,
35.017761,137.123863,セブンイレブン豊田市和会町店,
34.994324,137.060829,アオキスーパー知立店,
34.966347,137.065346,デイリーヤマザキ安城箕輪店,
35.107194,137.164906,京町6丁目交差点,
35.098083,137.163696,梅坪町9丁目交差点,
35.152237,137.016624,大針交差点,
35.15226,137.016617,大針交差点,
35.154472,137.028778,マックスバリュ長久手店,
35.117332,137.023033,プライムツリー赤池,
35.132072,136.993927,セブンイレブン名古屋植田本町3丁目店,
35.099098,137.048103,平和堂ららぽーと愛知東郷店,
35.152283,137.016617,大針交差点,
35.117409,137.023026,プライムツリー赤池,
35.11734,137.023033,プライムツリー赤池,
35.280716,136.853798,尾張一宮PA（下り）（名神高速道路）,
35.117393,137.023071,プライムツリー赤池,
35.117416,137.023048,プライムツリー赤池,
35.04937,137.153755,ファミリーマート豊田豊栄町店,
35.049286,137.153778,豊栄町4丁目交差点,
35.216843,137.062096,東三郷交差点,
35.359253,137.176178,マクドナルド19号土岐店,
35.049355,137.15374,ファミリーマート豊田豊栄町店,
35.049423,137.15377,ファミリーマート豊田豊栄町店,
35.117294,137.023018,プライムツリー赤池,
35.078461,137.159523,マクドナルドイオンスタイル豊田店,
35.078438,137.159584,マクドナルドイオンスタイル豊田店,
35.038933,137.050369,刈谷PA（上り）（伊勢湾岸自動車道）,
35.34626,137.153275,イオンスタイル土岐,
35.092743,137.079468,アイ・モール,
35.049347,137.153755,ファミリーマート豊田豊栄町店,
35.04937,137.153732,ファミリーマート豊田豊栄町店,
35.049309,137.153763,豊栄町4丁目交差点,
35.393257,137.18811,道の駅志野・織部,
35.017746,137.123795,セブンイレブン豊田市和会町店,
35.208565,137.085152,ドミー瀬戸菱野店,
35.095337,137.221977,鞍ケ池PA(内回り)(東海環状自動車道),
35.360664,137.199348,バロー土岐店,
35.435669,137.041298,ファミリーマート可児今渡店,
35.078445,137.159546,マクドナルドイオンスタイル豊田店,
35.324303,137.153816,下沢町交差点,
35.295357,138.920654,ファミリーマート御殿場川島田南店,
35.368698,138.919075,富士モータースポーツミュージアム,
35.295677,138.92038,ファミリーマート御殿場川島田南店,
35.035622,138.379269,ローソン新静岡インター店,
30.32135,130.654984,熊毛支庁保健福祉環境部屋久島事務所,
35.464539,139.874122,オーシャンキッチン,
35.532631,139.706192,スシロー川崎第一京浜店,
35.464684,139.873894,海ほたるパーキングエリア,
35.314011,138.968376,EXPASA足柄（下り線）,
35.46299,139.625999,京急ミュージアム,
36.236778,138.440468,道の駅ヘルシーテラス佐久南,
35.718727,139.860275,マルエツ新小岩店,
35.626495,139.714241,東急ストア不動前店,
35.679863,139.373863,石川PA,
35.431824,139.402206,海老名SA（下り）（東名高速道路）,
35.318115,139.269028,大磯PA,
35.318115,139.269028,大磯PA,
35.626511,139.714287,東急ストア不動前店,
35.66021,140.030136,湾岸幕張PA,
35.574707,139.726341,ダイソーマチノマ大森店,
35.169876,136.885201,ローソンMIDLAND STATION店,
35.169937,136.885216,ローソンMIDLAND STATION店,
35.169907,136.88517,ローソンMIDLAND STATION店,
35.169922,136.885208,ローソンMIDLAND STATION店,
35.169899,136.885178,ローソンMIDLAND STATION店,
35.169876,136.885162,ローソンMIDLAND STATION店,
35.169884,136.885155,ローソンMIDLAND STATION店,
35.3437,137.142194,東町交差点,
35.169899,136.885231,ローソンMIDLAND STATION店,
35.169884,136.885201,ローソンMIDLAND STATION店,
43.024117,141.400719,月寒中央通10交差点,
43.769112,142.327621,コープさっぽろ忠和店,
44.022171,143.495789,道の駅遠軽森のオホーツク,
43.798668,143.865494,東三輪3丁目交差点,
43.798691,143.865387,東三輪1丁目交差点,
